timestamp,temperature,humidity,light,pH,electrical_conductivity
2025-03-04 00:00:00,23.86,55.49,844.59,6.83,0.888
2025-03-04 00:00:05,20.86,51.5,495.14,7.7,1.296
2025-03-04 00:00:10,24.04,54.44,503.99,6.61,1.958
2025-03-04 00:00:15,20.81,55.13,240.56,6.71,1.405
2025-03-04 00:00:20,22.64,48.41,189.49,7.02,1.984
2025-03-04 00:00:25,21.56,41.05,215.55,7.49,1.687
2025-03-04 00:00:30,23.81,56.4,289.49,6.38,1.204
2025-03-04 00:00:35,23.15,46.79,275.38,6.96,0.843
2025-03-04 00:00:40,22.51,55.05,131.84,7.55,1.501
2025-03-04 00:00:45,24.01,47.91,313.46,7.45,1.916
2025-03-04 00:00:50,24.58,58.46,114.31,6.97,1.804
2025-03-04 00:00:55,21.58,43.53,211.33,7.59,1.405
2025-03-04 00:01:00,23.23,54.29,105.34,6.29,1.349
2025-03-04 00:01:05,21.93,41.41,846.71,7.66,1.599
2025-03-04 00:01:10,20.52,51.06,475.08,7.78,0.521
2025-03-04 00:01:15,23.82,45.56,538.08,6.82,1.201
2025-03-04 00:01:20,23.35,45.18,324.97,6.08,0.513
2025-03-04 00:01:25,21.35,49.68,331.33,6.53,1.165
2025-03-04 00:01:30,22.11,55.09,812.35,7.82,0.695
2025-03-04 00:01:35,22.78,47.21,197.43,7.47,0.534
2025-03-04 00:01:40,23.47,47.29,802.17,6.27,1.985
2025-03-04 00:01:45,24.65,42.5,350.1,6.95,0.796
2025-03-04 00:01:50,22.35,41.15,484.83,6.46,0.868
2025-03-04 00:01:55,24.63,44.46,439.52,6.87,0.619
2025-03-04 00:02:00,20.31,53.9,907.83,6.04,0.723
2025-03-04 00:02:05,20.16,57.19,232.63,7.96,1.677
2025-03-04 00:02:10,22.68,57.75,147.91,6.18,1.916
2025-03-04 00:02:15,23.65,48.13,217.26,6.62,1.592
2025-03-04 00:02:20,21.5,45.71,521.29,6.13,1.185
2025-03-04 00:02:25,22.58,59.35,471.09,7.33,1.349
2025-03-04 00:02:30,20.98,41.18,527.49,6.51,1.399
2025-03-04 00:02:35,24.91,49.17,939.08,6.23,0.701
2025-03-04 00:02:40,22.02,52.29,124.06,7.66,1.134
2025-03-04 00:02:45,23.63,51.45,657.04,7.37,1.481
2025-03-04 00:02:50,20.56,44.96,339.27,7.44,0.801
2025-03-04 00:02:55,23.29,44.7,948.24,6.31,1.674
2025-03-04 00:03:00,20.72,58.13,763.27,7.76,0.587
2025-03-04 00:03:05,21.97,58.62,568.12,6.71,1.649
2025-03-04 00:03:10,22.68,58.43,759.12,6.43,1.341
2025-03-04 00:03:15,23.72,43.0,700.24,7.5,1.376
2025-03-04 00:03:20,22.11,57.62,831.55,6.08,1.1
2025-03-04 00:03:25,23.98,44.01,223.31,7.8,1.152
2025-03-04 00:03:30,23.24,45.55,241.47,6.82,0.839
2025-03-04 00:03:35,20.49,52.1,802.95,7.26,1.089
2025-03-04 00:03:40,24.11,52.8,118.07,6.46,0.519
2025-03-04 00:03:45,24.86,56.93,334.3,6.74,1.141
2025-03-04 00:03:50,22.04,42.5,425.46,6.84,1.319
2025-03-04 00:03:55,24.16,54.34,766.05,6.75,0.516
2025-03-04 00:04:00,21.57,45.14,827.53,6.58,1.576
2025-03-04 00:04:05,24.94,56.07,573.48,6.05,0.924
2025-03-04 00:04:10,23.27,58.16,886.6,7.94,1.511
2025-03-04 00:04:15,23.24,41.6,512.92,6.05,1.124
2025-03-04 00:04:20,23.18,48.92,854.93,7.18,0.982
2025-03-04 00:04:25,21.36,52.74,450.43,7.04,1.922
2025-03-04 00:04:30,21.57,46.76,116.47,6.28,0.853
2025-03-04 00:04:35,23.65,40.24,738.37,6.91,0.611
2025-03-04 00:04:40,23.11,49.39,777.63,7.09,0.68
